curso_academico,poblacion,des_provincia_centro_sec,nota_media,nota_minima,nota_maxima,percentil_25,percentil_50,percentil_75
2018-19,Muy densa,Huelva,,,,,,
2018-19,Muy densa,Ávila,,,,,,
2018-19,Muy densa,Gipuzkoa,,,,,,
2018-19,Muy densa,Málaga,10.664366666666666,5.445,13.8,9.485,11.31,11.861
2018-19,Muy densa,Cáceres,,,,,,
2018-19,Muy densa,Soria,,,,,,
2018-19,Muy densa,Jaén,,,,,,
2018-19,Muy densa,Huesca,,,,,,
2018-19,Muy densa,Castellón,,,,,,
2018-19,Muy densa,Alicante,,,,,,
2018-19,Muy densa,Ceuta,,,,,,
2018-19,Muy densa,Palencia,,,,,,
2018-19,Muy densa,Badajoz,,,,,,
2018-19,Muy densa,Asturias,,,,,,
